,shortest_processing_first,earliest_deadline_first,smallest_slack
806000,1729783,932592,1957048
807000,1787978,2034443,1671494
808000,1727435,1657043,1874076
809000,1757495,1046930,1814118
810000,1745325,1273674,2219564
811000,1820501,1214189,2644105
812000,1813510,1221537,1759256
813000,1832646,1097601,1753512
814000,1813843,1188597,1758948
815000,2598052,1846193,2071839
816000,1753626,2611623,1865681
817000,1721844,1784177,1671752
818000,1731197,1844840,1636829
819000,1620686,1900416,1940521
820000,1675557,1652056,2005039
821000,1773141,1061112,2708440
822000,1750432,1083347,2432555
823000,1681636,1463538,1643233
824000,1767389,1023095,1861471
825000,1701415,970148,2130116
826000,1675683,953867,1740033
827000,1832243,1723769,2492655
828000,1756466,2030751,3232438
829000,1736050,2048709,3845376
830000,1753554,1570312,2120710
831000,1876912,1776025,1700943
832000,1815516,1309320,1648454
833000,1851740,2051014,2827200
834000,2585959,2142487,2157758
835000,1916343,2233700,2512208
836000,1803284,2371161,2544648
837000,1782044,2631350,2381092
838000,1881331,1018896,2188170
839000,1745283,1021786,1685390
840000,1589929,994203,1678733
841000,1597401,1076562,2036255
842000,1634501,1468516,2727645
843000,1601549,1010173,1747579
844000,1705380,982498,1742508
845000,1549096,1157563,2233527
846000,1199830,1724535,2402144
847000,1759776,974642,2281868
848000,1121167,1112338,1689625
849000,1377586,983031,1635639
850000,1048757,974819,1696469
851000,1785013,994876,2503297
852000,1067751,959927,2324779
853000,1076789,1094987,2385953
854000,1604530,1784243,1654943
855000,2838381,1488809,1796853
856000,1944149,2120359,2160727
857000,2225903,2234497,2519028
858000,2269612,2311117,1826250
859000,1578325,2302833,1757109
860000,1033525,2309473,1751129
861000,951224,1092119,3379775
862000,1009771,1028229,1732969
863000,948395,1038249,1664790
864000,946867,1066190,1638288
865000,1001662,944699,2422771
866000,1417424,1953391,2310608
867000,2078774,1767294,2476374
868000,1384234,953728,1773871
869000,1244112,1000544,2219402
870000,1012059,954912,2102334
871000,1003869,1206717,1746212
872000,970970,955962,1805705
873000,1105134,943569,2569150
874000,1718551,1553976,3718490
875000,1380087,2065172,3685944
876000,1279583,1633268,1779500
877000,1514095,2368637,1702932
878000,1974192,1909643,2121737
879000,2055828,1966556,1707512
880000,2168347,2307425,1631709
881000,2234838,2180010,1656813
882000,2100177,2575272,2385816
883000,957794,1303707,2378526
884000,1074660,1670042,2091865
885000,973559,1055531,2009647
886000,1508163,1019253,1690800
887000,2083915,1020657,1865193
888000,1010920,951642,2525369
889000,971007,967118,2973380
890000,947394,963558,3786167
891000,956459,1118403,2444858
892000,944589,1056459,1638564
893000,1027884,1101263,1682793
894000,969735,944474,1669364
895000,1956139,964001,1692349
896000,1991161,1003706,2191037
897000,1090147,1085014,2148487
898000,981000,1140367,1955291
899000,1017292,1841510,1714652
900000,1240856,1776461,1892250
901000,1828842,2013433,2457399
902000,2363078,2267128,1813058
903000,1965686,2172227,2435050
904000,2193685,2299493,2836734
905000,2175496,2799293,3700198
906000,1783661,1728709,2694899
907000,1124909,982336,1712109
908000,996845,936093,1637329
909000,947930,932629,3141690
910000,1001850,1310442,2277804
911000,1006734,948959,1741604
912000,984274,977472,2579590
913000,947250,1807083,3441616
914000,1009474,1801669,1858544
915000,2059378,942079,2095814
916000,1535521,983384,1789061
917000,976975,949406,3459188
918000,949984,991469,3598615
919000,948346,954014,3873351
920000,1300053,978137,1721950
921000,1179984,943377,1662125
922000,1158439,2117664,1675719
923000,2151166,1701115,1656675
924000,1941804,1008634,1629605
925000,1682085,1651075,3038267
926000,1895046,1694057,2282491
927000,2232822,1048377,1810131
928000,2280305,1270779,1691524
929000,1566380,2211264,2521093
930000,954327,1656718,2129187
931000,982326,1040339,1964738
932000,947720,935216,1894423
933000,1223555,932922,1854360
934000,2069304,930662,2363364
935000,1288195,978443,1744892
936000,1081876,1043139,2015294
937000,1196389,1288567,1739778
938000,950764,957413,1703028
939000,945047,958027,2096683
940000,949839,933518,1770714
941000,942053,949361,1822353
942000,1897927,1316470,1689212
943000,1777991,1029407,1859751
944000,1009758,939179,2138074
945000,1058712,1044052,1858559
946000,1090344,947774,2423736
947000,1232293,1070499,1671889
948000,1309944,936185,1783084
949000,2371587,931365,2403672
950000,2193843,1248302,3482934
951000,2138480,1066514,1741169
952000,2267668,1569477,1701579
953000,1208056,1207330,1708137
954000,1834233,1892094,2800966
955000,1818045,2248831,2547888
