,shortest_processing_first,earliest_deadline_first,smallest_slack
715000,470012,510852,874442
716000,468896,512705,875964
717000,472736,509290,912249
718000,529422,513773,889834
719000,502761,536488,898417
720000,503722,515481,887149
721000,502138,510609,883800
722000,502928,510219,882073
723000,502219,512313,845998
724000,501216,508044,845633
725000,532023,511431,904982
726000,472404,514475,876856
727000,471306,511350,887861
728000,531159,512048,844741
729000,503919,541842,857838
730000,502551,513394,867730
731000,498720,511176,949983
732000,501890,512499,1107757
733000,530821,508769,1424580
734000,472307,519919,1053475
735000,470995,513330,975489
736000,468612,490291,854525
737000,468855,494281,848443
738000,527973,515415,846565
739000,503702,652026,887136
740000,503140,673286,847160
741000,539201,811448,908098
742000,542447,747212,880447
743000,471640,597335,880929
744000,470378,476108,918008
745000,470488,472194,847559
746000,469200,481060,844632
747000,469920,550542,904543
748000,528933,549384,877961
749000,541291,471184,875581
750000,474103,469954,872241
751000,472051,467540,871970
752000,470261,468650,898009
753000,470550,467143,896338
754000,470030,467444,846976
755000,470489,467837,845141
756000,469520,471014,845239
757000,470371,503694,845446
758000,558038,506852,944195
759000,516597,500759,885407
760000,473892,502446,881241
761000,538497,500242,879541
762000,469452,501107,918906
763000,473650,502477,845543
764000,489784,528943,905126
765000,495418,470498,876757
766000,512400,470963,885655
767000,474761,502326,879134
768000,594879,504659,855957
769000,736468,524254,1320492
770000,740515,471151,1373504
771000,830652,469954,1227693
772000,700190,510863,858875
773000,564866,467214,848174
774000,491503,468643,913954
775000,473571,468526,869509
776000,534400,467865,868589
777000,505898,468279,895762
778000,502972,525558,843759
779000,539261,499694,884225
780000,472928,499497,919975
781000,501845,514148,845439
782000,471068,470267,847175
783000,469760,469227,850317
784000,468774,468424,844827
785000,469603,470299,908627
786000,517430,547510,851558
787000,507321,468486,845557
788000,514269,530319,891614
789000,471241,510995,844554
790000,469076,472328,919837
791000,470564,469378,900343
792000,469147,468397,916658
793000,469661,470243,844694
794000,470407,468370,847763
795000,468015,468876,845944
796000,549418,468629,847675
797000,507891,509204,915912
798000,520049,564131,847432
799000,471876,502758,847686
800000,471047,503949,847342
801000,470313,494634,846869
802000,467931,485279,884028
803000,470042,474485,903343
804000,511751,471977,878702
805000,470008,602693,854617
806000,469737,563029,1153427
807000,530193,983214,1706484
808000,504638,843468,1244473
809000,540350,741475,924738
810000,504270,509291,880227
811000,510900,514012,883708
812000,511767,470783,889968
813000,471164,468370,876824
814000,471032,467914,888057
815000,479886,468477,846685
816000,476190,532140,951838
817000,629958,514680,846245
818000,483964,471772,913706
819000,471619,505246,848396
820000,511170,470019,845489
821000,473914,469046,846229
822000,509914,469218,847951
823000,599112,469437,880003
824000,487906,469443,911411
825000,473824,468511,853444
826000,471297,468387,935418
827000,543997,551336,889657
828000,525681,472845,846447
829000,486914,468940,844542
830000,484727,470009,908389
831000,472890,469252,871281
832000,471359,468377,889856
833000,480469,469131,846487
834000,662103,468106,845497
835000,696220,469024,990856
836000,1000081,507848,890825
837000,763929,534894,850350
838000,525290,471485,860062
839000,479669,468654,869932
840000,503690,469113,888450
841000,472627,467202,997370
842000,508919,467184,942154
843000,504873,467656,1139652
844000,470554,507338,1324219
845000,541859,468445,920365
846000,506928,468161,962459
847000,505467,501983,846607
848000,506326,506909,846393
849000,507063,499922,852776
850000,515509,501960,847589
851000,470493,544905,880591
852000,470067,512384,879039
853000,468661,469517,872309
854000,469932,469486,887165
855000,527243,470343,847245
856000,505167,468143,845484
857000,503300,501018,895772
858000,513403,504768,888784
859000,472364,500340,848405
860000,469804,517787,845672
861000,509547,472273,848128
862000,469780,469476,918745
863000,468616,469479,937561
864000,468810,469221,877397
865000,515448,467708,870344
866000,517760,471617,870981
867000,472865,481369,892626
868000,472117,604944,847373
869000,470185,478032,909639
870000,508440,471766,871708
871000,504750,475895,873600
872000,470589,744695,889277
873000,468144,759496,845720
874000,507851,867205,902919
875000,506315,591613,885182
876000,504486,595061,861469
877000,503806,490759,869002
878000,502467,472022,852274
879000,502470,469414,1002905
880000,501641,468923,1435454
881000,504008,467896,1182419
882000,521600,540471,930586
883000,472417,467805,879538
884000,469427,468026,928243
885000,509882,470095,903806
886000,503967,515442,875856
887000,552942,498112,871116
888000,471775,501128,873577
889000,472005,496055,884546
890000,507683,498598,845882
891000,469187,513646,899617
892000,470143,469594,874885
893000,470160,469362,902467
894000,475634,468827,848401
895000,481239,468712,844553
896000,560065,504888,845579
897000,504663,501830,899100
898000,538249,498864,895456
899000,677062,587047,915227
900000,787988,470205,846127
901000,686984,470540,847878
902000,736750,468504,909326
903000,657867,468718,864290
904000,532508,466571,845815
905000,474340,466833,844420
906000,471438,468233,845897
907000,470367,535190,878410
908000,470781,471287,913568
909000,469633,470147,850180
910000,470381,469540,844423
911000,468401,469527,847434
912000,468863,468171,920559
913000,543524,468909,853664
914000,538336,467484,970365
915000,505207,508208,881744
916000,503254,469097,1003195
917000,503786,520810,878382
918000,503258,527324,856557
919000,502729,471657,994921
920000,539902,471217,1448547
921000,473860,469508,959753
922000,471994,468573,844955
923000,470798,468697,846939
924000,529727,513241,942439
925000,504668,469186,848495
926000,501056,468442,876583
927000,505563,530662,846402
928000,507322,517677,845332
929000,471306,470343,890212
930000,470303,470333,913211
931000,470460,470238,882094
932000,469043,598652,880487
933000,468827,565105,920827
934000,527692,496986,847403
935000,524241,478752,909610
936000,472949,470231,896912
937000,514123,564942,872176
938000,469868,642438,890975
939000,469880,783210,847796
940000,471192,769652,846428
941000,512397,711642,884857
942000,470522,485842,879511
943000,470061,474170,879041
944000,520140,470856,875830
945000,517017,522564,875279
946000,472090,516987,875277
947000,471958,548701,914071
948000,469558,471612,850976
949000,470312,469993,846926
950000,470264,469605,853318
951000,469606,469325,866729
952000,565061,468740,894873
953000,505075,467934,1184318
954000,515823,508244,1329724
955000,507327,468361,1409329
956000,505499,530707,860721
957000,503876,501277,934520
958000,502272,500047,888795
959000,484960,500923,886196
960000,485824,498338,846222
961000,522907,495590,845437
962000,472526,508560,981884
963000,474034,470394,848144
964000,873407,540250,882977
965000,682378,469766,845860
966000,852586,527475,846313
967000,804408,496691,891127
968000,783028,499954,933467
969000,474666,497282,847960
970000,474118,512699,847695
971000,471897,471848,844809
972000,556945,469068,848266
973000,507806,469270,911267
974000,511566,468012,847672
975000,471908,468196,845314
976000,469923,526177,844549
977000,470189,503887,847263
978000,468237,518556,850271
979000,508129,471677,911605
980000,469428,469324,884887
981000,469173,468883,987543
982000,544277,468522,885627
983000,475234,468165,896781
984000,471614,469046,877815
985000,471607,470186,902597
986000,472445,549907,848638
987000,468241,509937,899571
988000,469135,469174,985333
989000,468881,507371,880589
990000,469260,469344,1033801
991000,509629,469549,1404528
992000,517170,467073,1346272
993000,507352,468530,898003
994000,472303,467507,895705
995000,470237,508626,847080
996000,472857,468021,845944
997000,470968,586114,846332
998000,468416,475606,987682
999000,512630,483886,882269
